Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
APOLLOHOSP,INE437A01024,22-05-2023,NSE,EQ,EQ,buy,FALSE,4,4584.35,4041651,1.00E+15,2023-05-22T14:00:01
PERSISTENT,INE262H01013,22-05-2023,NSE,EQ,EQ,buy,FALSE,4,4965.95,53152571,1.20E+15,2023-05-22T14:00:01
KPITTECH,INE04I401011,22-05-2023,NSE,EQ,EQ,buy,FALSE,13,937.85,53152573,1.20E+15,2023-05-22T14:00:01
KPITTECH,INE04I401011,22-05-2023,NSE,EQ,EQ,buy,FALSE,7,937.9,53152574,1.20E+15,2023-05-22T14:00:01
MAXHEALTH,INE027H01010,22-05-2023,NSE,EQ,EQ,buy,FALSE,1,550.45,53152575,1.20E+15,2023-05-22T14:00:01
MAXHEALTH,INE027H01010,22-05-2023,NSE,EQ,EQ,buy,FALSE,35,550.45,53152576,1.20E+15,2023-05-22T14:00:01
HAL,INE066F01012,22-05-2023,NSE,EQ,EQ,buy,FALSE,6,3092,28386686,1.10E+15,2023-05-22T14:00:01
TIINDIA,INE974X01010,22-05-2023,NSE,EQ,EQ,buy,FALSE,1,2709.8,78375346,1.30E+15,2023-05-22T14:00:01
TIINDIA,INE974X01010,22-05-2023,NSE,EQ,EQ,buy,FALSE,7,2710,78375347,1.30E+15,2023-05-22T14:00:01
SCHAEFFLER,INE513A01022,22-05-2023,NSE,EQ,EQ,buy,FALSE,1,2837.75,78375348,1.30E+15,2023-05-22T14:00:01
SCHAEFFLER,INE513A01022,22-05-2023,NSE,EQ,EQ,buy,FALSE,1,2837.85,78375349,1.30E+15,2023-05-22T14:00:01
SCHAEFFLER,INE513A01022,22-05-2023,NSE,EQ,EQ,buy,FALSE,6,2837.9,78375350,1.30E+15,2023-05-22T14:00:01
SOLARINDS,INE343H01029,22-05-2023,NSE,EQ,EQ,buy,FALSE,6,3819.1,78375351,1.30E+15,2023-05-22T14:00:01
NIFTYBEES,INF204KB14I2,23-05-2023,NSE,EQ,EQ,buy,FALSE,100,201.1,50093494,1.20E+15,2023-05-23T09:16:52
KPITTECH,INE04I401011,01-06-2023,NSE,EQ,EQ,buy,FALSE,9,1104.85,53433714,1.20E+15,2023-06-01T14:00:01
HAL,INE066F01012,01-06-2023,NSE,EQ,EQ,buy,FALSE,6,3082,28901915,1.10E+15,2023-06-01T14:00:01
APOLLOHOSP,INE437A01024,01-06-2023,NSE,EQ,EQ,buy,FALSE,1,4821,3212984,1.00E+15,2023-06-01T14:00:01
HAL,INE066F01012,01-06-2023,NSE,EQ,EQ,buy,FALSE,1,3082,28901914,1.10E+15,2023-06-01T14:00:01
KPITTECH,INE04I401011,01-06-2023,NSE,EQ,EQ,buy,FALSE,10,1104.85,53433715,1.20E+15,2023-06-01T14:00:01
PERSISTENT,INE262H01013,01-06-2023,NSE,EQ,EQ,buy,FALSE,4,5170,53433717,1.20E+15,2023-06-01T14:00:01
MAXHEALTH,INE027H01010,01-06-2023,NSE,EQ,EQ,buy,FALSE,37,539.85,53433724,1.20E+15,2023-06-01T14:00:01
NIFTYBEES,INF204KB14I2,01-06-2023,NSE,EQ,EQ,buy,FALSE,100,203.17,53433726,1.20E+15,2023-06-01T14:00:01
APOLLOHOSP,INE437A01024,01-06-2023,NSE,EQ,EQ,buy,FALSE,3,4821.2,3212985,1.00E+15,2023-06-01T14:00:01
TIINDIA,INE974X01010,01-06-2023,NSE,EQ,EQ,buy,FALSE,4,2898.85,78711365,1.30E+15,2023-06-01T14:00:01
TIINDIA,INE974X01010,01-06-2023,NSE,EQ,EQ,buy,FALSE,1,2898.85,78711366,1.30E+15,2023-06-01T14:00:01
TIINDIA,INE974X01010,01-06-2023,NSE,EQ,EQ,buy,FALSE,2,2898.85,78711367,1.30E+15,2023-06-01T14:00:01
SCHAEFFLER,INE513A01022,01-06-2023,NSE,EQ,EQ,buy,FALSE,1,2955.6,78711368,1.30E+15,2023-06-01T14:00:01
SCHAEFFLER,INE513A01022,01-06-2023,NSE,EQ,EQ,buy,FALSE,1,2955.65,78711369,1.30E+15,2023-06-01T14:00:01
SCHAEFFLER,INE513A01022,01-06-2023,NSE,EQ,EQ,buy,FALSE,5,2955.65,78711370,1.30E+15,2023-06-01T14:00:01
SOLARINDS,INE343H01029,01-06-2023,NSE,EQ,EQ,buy,FALSE,5,3765,78711372,1.30E+15,2023-06-01T14:00:01
APOLLOHOSP,INE437A01024,08-06-2023,NSE,EQ,EQ,buy,FALSE,4,4933.55,2842167,1.00E+15,2023-06-08T14:00:01
HAL,INE066F01012,08-06-2023,NSE,EQ,EQ,buy,FALSE,6,3514.1,28734729,1.10E+15,2023-06-08T14:00:01
KPITTECH,INE04I401011,08-06-2023,NSE,EQ,EQ,buy,FALSE,17,1136.85,53743058,1.20E+15,2023-06-08T14:00:01
PERSISTENT,INE262H01013,08-06-2023,NSE,EQ,EQ,buy,FALSE,1,4943.4,53743059,1.20E+15,2023-06-08T14:00:01
PERSISTENT,INE262H01013,08-06-2023,NSE,EQ,EQ,buy,FALSE,3,4943.4,53743060,1.20E+15,2023-06-08T14:00:01
MAXHEALTH,INE027H01010,08-06-2023,NSE,EQ,EQ,buy,FALSE,4,557.7,53743062,1.20E+15,2023-06-08T14:00:01
MAXHEALTH,INE027H01010,08-06-2023,NSE,EQ,EQ,buy,FALSE,32,557.75,53743063,1.20E+15,2023-06-08T14:00:01
NIFTYBEES,INF204KB14I2,08-06-2023,NSE,EQ,EQ,buy,FALSE,98,205.25,53743064,1.20E+15,2023-06-08T14:00:01
TIINDIA,INE974X01010,08-06-2023,NSE,EQ,EQ,buy,FALSE,3,2857.15,79426675,1.30E+15,2023-06-08T14:00:01
TIINDIA,INE974X01010,08-06-2023,NSE,EQ,EQ,buy,FALSE,4,2857.2,79426676,1.30E+15,2023-06-08T14:00:01
SCHAEFFLER,INE513A01022,08-06-2023,NSE,EQ,EQ,buy,FALSE,4,3195,79426677,1.30E+15,2023-06-08T14:00:01
SCHAEFFLER,INE513A01022,08-06-2023,NSE,EQ,EQ,buy,FALSE,2,3195,79426678,1.30E+15,2023-06-08T14:00:01
SOLARINDS,INE343H01029,08-06-2023,NSE,EQ,EQ,buy,FALSE,5,3877.95,79426679,1.30E+15,2023-06-08T14:00:01
APOLLOHOSP,INE437A01024,15-06-2023,NSE,EQ,EQ,buy,FALSE,4,5178.65,3154818,1.00E+15,2023-06-15T14:00:01
HAL,INE066F01012,15-06-2023,NSE,EQ,EQ,buy,FALSE,6,3700,29407675,1.10E+15,2023-06-15T14:00:01
KPITTECH,INE04I401011,15-06-2023,NSE,EQ,EQ,buy,FALSE,17,1065.4,53896712,1.20E+15,2023-06-15T14:00:01
PERSISTENT,INE262H01013,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,4990.9,53896713,1.20E+15,2023-06-15T14:00:01
PERSISTENT,INE262H01013,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,4990.95,53896714,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,579.5,53896723,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,579.5,53896724,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,579.5,53896725,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,13,579.5,53896726,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,579.5,53896727,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,13,579.5,53896728,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,579.5,53896729,1.20E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,579.5,53896730,1.20E+15,2023-06-15T14:00:01
NIFTYBEES,INF204KB14I2,15-06-2023,NSE,EQ,EQ,buy,FALSE,60,205.7,53896753,1.20E+15,2023-06-15T14:00:01
NIFTYBEES,INF204KB14I2,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,205.7,53896754,1.20E+15,2023-06-15T14:00:01
NIFTYBEES,INF204KB14I2,15-06-2023,NSE,EQ,EQ,buy,FALSE,37,205.73,53896755,1.20E+15,2023-06-15T14:00:01
TIINDIA,INE974X01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,2834.5,79141559,1.30E+15,2023-06-15T14:00:01
TIINDIA,INE974X01010,15-06-2023,NSE,EQ,EQ,buy,FALSE,6,2834.55,79141560,1.30E+15,2023-06-15T14:00:01
SCHAEFFLER,INE513A01022,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,3036.8,79141562,1.30E+15,2023-06-15T14:00:01
SCHAEFFLER,INE513A01022,15-06-2023,NSE,EQ,EQ,buy,FALSE,5,3036.8,79141563,1.30E+15,2023-06-15T14:00:01
SOLARINDS,INE343H01029,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,3858.9,79141586,1.30E+15,2023-06-15T14:00:01
SOLARINDS,INE343H01029,15-06-2023,NSE,EQ,EQ,buy,FALSE,2,3859.8,79141587,1.30E+15,2023-06-15T14:00:01
SOLARINDS,INE343H01029,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,3859.9,79141588,1.30E+15,2023-06-15T14:00:01
SOLARINDS,INE343H01029,15-06-2023,NSE,EQ,EQ,buy,FALSE,1,3859.9,79141589,1.30E+15,2023-06-15T14:00:01
MAXHEALTH,INE027H01010,22-06-2023,NSE,EQ,EQ,buy,FALSE,6,582.75,53979237,1.20E+15,2023-06-22T14:00:02
