Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
PERSISTENT,INE262H01013,08-01-2024,NSE,EQ,EQ,buy,FALSE,7,7297.95,40956060,1.20E+15,2024-01-08T09:31:06
TRENT,INE849A01020,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,3072.7,61177918,1.30E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,2,5533.3,40956190,1.20E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5533.25,40956189,1.20E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,895.7,21105571,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,895.7,21105570,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,895.7,21105569,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,895.7,21105568,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,12,895.7,21105567,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,13,895.65,21105566,1.10E+15,2024-01-08T09:31:06
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,25,805,21105921,1.10E+15,2024-01-08T09:31:06
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,805,21105920,1.10E+15,2024-01-08T09:31:06
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,18,805,21105919,1.10E+15,2024-01-08T09:31:06
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,13,805,21105918,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.85,21105657,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.8,21105656,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,3,1068.8,21105655,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.75,21105654,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,3,1068.75,21105653,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.7,21105652,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,10,1068.6,21105651,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,5,1068.45,21105650,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,7,895.6,21105565,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,895.6,21105564,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,3,895.6,21105562,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,2,895.6,21105563,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.4,21105649,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,5,1068.4,21105648,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.4,21105647,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,2,1068.35,21105646,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.15,21105645,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,3,1068.15,21105644,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,3,1068.15,21105643,1.10E+15,2024-01-08T09:31:06
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,6,1068.05,21105642,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,895.7,21105574,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,895.7,21105573,1.10E+15,2024-01-08T09:31:06
SJVN,INE002L01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,529,95.2,61177773,1.30E+15,2024-01-08T09:31:06
TRENT,INE849A01020,08-01-2024,NSE,EQ,EQ,buy,FALSE,12,3072.7,61177917,1.30E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5534.15,40956191,1.20E+15,2024-01-08T09:31:06
PFC,INE134E01011,08-01-2024,NSE,EQ,EQ,buy,FALSE,123,403.95,40956554,1.20E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5534.5,40956196,1.20E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5534.5,40956195,1.20E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5534.5,40956194,1.20E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5534.5,40956193,1.20E+15,2024-01-08T09:31:06
NEULANDLAB,INE794A01010,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,5534.35,40956192,1.20E+15,2024-01-08T09:31:06
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,5,805.05,21105922,1.10E+15,2024-01-08T09:31:06
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,895.7,21105572,1.10E+15,2024-01-08T09:31:06
NIFTYBEES,INF204KB14I2,08-01-2024,NSE,EQ,EQ,buy,FALSE,21,239.8,40956696,1.20E+15,2024-01-08T09:31:07
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,31,1068.45,21161726,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,2,1068.4,21161725,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.4,21161724,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.4,21161723,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,1068.35,21161722,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,1,1068.35,21161721,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,3,1068,21161720,1.10E+15,2024-01-08T09:31:59
GRAVITA,INE024L01027,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,1067.95,21161719,1.10E+15,2024-01-08T09:31:59
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,13,894.8,21161697,1.10E+15,2024-01-08T09:31:59
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,18,804.8,21161881,1.10E+15,2024-01-08T09:31:59
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,4,894.8,21161695,1.10E+15,2024-01-08T09:31:59
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,20,894.7,21161694,1.10E+15,2024-01-08T09:31:59
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,8,894.65,21161693,1.10E+15,2024-01-08T09:31:59
AGI,INE415A01038,08-01-2024,NSE,EQ,EQ,buy,FALSE,12,894.8,21161696,1.10E+15,2024-01-08T09:31:59
FACT,INE188A01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,10,804.85,21161882,1.10E+15,2024-01-08T09:31:59
SJVN,INE002L01015,08-01-2024,NSE,EQ,EQ,buy,FALSE,500,95.2,61223028,1.30E+15,2024-01-08T09:31:59
